,order_id,user_id,product_id,aisle_id,department_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,add_to_cart_order,reordered,user_total_orders,user_avg_days_between,user_avg_cart_pos,user_total_reorders,prod_total_reorders,prod_reorder_rate,prod_order_count,prod_avg_cart_pos
965409,2241493,94085,7158,91,16,4,1,14,12.0,6,0,4,12.0,7.0,9,31,0.7209302325581395,43,6.604651162790698
1009023,2472802,18932,47626,24,4,4,0,10,30.0,2,1,4,30.0,5.0,4,5923,0.7280885064535956,8135,8.063306699446835
372484,934335,97070,16349,83,4,7,1,18,16.0,13,1,7,16.0,15.5,26,408,0.5795454545454546,704,9.522727272727273
602360,1243217,21547,43352,32,4,12,0,20,14.0,5,1,12,14.0,8.5,8,2328,0.7099725526075022,3279,6.897834705702958
573846,1461849,135153,11078,131,9,17,4,21,6.0,17,0,17,6.0,9.0,15,35,0.44871794871794873,78,11.653846153846153
849273,2293631,194545,31040,107,19,22,2,13,23.0,8,1,22,23.0,5.5,10,440,0.6223479490806223,707,10.227722772277227
1138123,2690838,154422,4619,101,17,5,3,02,30.0,14,0,5,30.0,9.0,6,6,0.20689655172413793,29,7.0
839972,2071430,99102,34993,120,16,12,3,09,30.0,18,0,12,30.0,10.0,14,113,0.5978835978835979,189,9.116402116402117
1014277,2553332,172365,47626,24,4,15,5,15,30.0,7,1,15,30.0,5.0,9,5923,0.7280885064535956,8135,8.063306699446835
731590,1692465,134621,21497,112,3,28,0,21,29.0,33,1,28,29.0,19.0,33,175,0.6679389312977099,262,7.282442748091603
1137533,2689297,44024,19173,98,7,21,5,12,6.0,24,0,21,6.0,13.0,12,290,0.6531531531531531,444,8.018018018018019
1092770,2857532,40831,6631,31,7,8,2,13,17.0,9,1,8,17.0,11.0,14,282,0.6588785046728972,428,6.936915887850467
447396,1274770,24493,33216,59,15,5,0,15,30.0,3,0,5,30.0,11.5,1,22,0.55,40,9.575
599413,1494427,42297,41658,43,3,10,0,05,1.0,4,0,10,1.0,4.0,4,259,0.6815789473684211,380,9.176315789473684
1159523,2931168,86974,27966,123,4,4,3,13,16.0,5,1,4,16.0,11.0,8,4279,0.7715470609448251,5546,7.628921745402091
560328,1188438,24053,8022,79,1,18,6,17,20.0,4,1,18,20.0,12.0,11,134,0.6146788990825688,218,9.761467889908257
998090,2459501,14298,21497,112,3,5,6,12,24.0,10,1,5,24.0,5.5,5,175,0.6679389312977099,262,7.282442748091603
1168865,2948171,95627,5794,26,7,7,2,15,17.0,7,1,7,17.0,14.0,17,90,0.5844155844155844,154,7.201298701298701
338548,906295,113519,19173,98,7,14,0,16,14.0,18,1,14,14.0,16.5,29,290,0.6531531531531531,444,8.018018018018019
1021019,2492216,115796,1447,123,4,21,2,07,5.0,18,0,21,5.0,11.0,17,51,0.6986301369863014,73,10.808219178082192
1370333,3253474,47593,18618,50,19,6,5,03,30.0,2,1,6,30.0,7.0,5,114,0.6333333333333333,180,9.411111111111111
1353466,3211282,17395,36280,127,11,4,6,11,25.0,19,0,4,25.0,11.0,4,4,0.4444444444444444,9,7.333333333333333
995209,2452904,57622,5550,120,16,30,1,20,3.0,10,1,30,3.0,8.5,13,188,0.6596491228070176,285,8.178947368421053
32463,43906,148180,40519,63,9,9,5,08,18.0,3,0,9,18.0,10.5,4,14,0.4375,32,13.375
495661,1340802,28925,21616,123,4,15,4,17,30.0,25,1,15,30.0,15.5,21,2071,0.708518645227506,2923,8.927129661306877
460114,1286122,3862,46979,83,4,8,0,08,7.0,9,0,8,7.0,9.5,7,2457,0.6352119958634953,3868,9.408738366080662
585850,1471424,123291,36315,69,15,42,5,12,11.0,22,1,42,11.0,14.5,24,65,0.5371900826446281,121,10.512396694214877
954517,2224587,157854,9558,120,16,7,0,17,7.0,20,1,7,7.0,12.0,17,89,0.6180555555555556,144,8.82638888888889
1076518,2825748,33054,37849,4,9,5,1,17,16.0,14,1,5,16.0,8.0,13,72,0.5806451612903226,124,8.774193548387096
791324,1754390,103324,4920,123,4,9,3,07,30.0,3,1,9,30.0,8.0,2,2869,0.7068243409706825,4059,8.346883468834688
312673,880374,193616,10859,88,13,9,2,18,13.0,5,1,9,13.0,5.0,8,5,0.3125,16,9.375
640639,1562567,122668,26856,112,3,12,0,12,6.0,1,1,12,6.0,9.0,12,148,0.6636771300448431,223,7.977578475336323
291224,844703,121101,22247,16,4,11,6,13,30.0,10,0,11,30.0,7.5,2,66,0.34554973821989526,191,10.434554973821989
584682,1224457,105390,32429,24,4,40,0,13,8.0,12,1,40,8.0,8.0,15,219,0.5615384615384615,390,10.387179487179488
784556,1947466,163354,34358,83,4,7,1,13,9.0,1,1,7,9.0,3.5,2,1190,0.6197916666666666,1920,8.795833333333333
783040,1743753,156984,21386,115,7,4,6,16,30.0,5,1,4,30.0,5.0,5,283,0.7648648648648648,370,5.210810810810811
1332995,3176723,166875,16381,3,19,4,1,21,30.0,8,1,4,30.0,8.0,15,5,0.5,10,7.5
363838,711477,43753,23560,111,17,4,5,12,18.0,14,1,4,18.0,12.0,14,9,0.391304347826087,23,12.217391304347826
377167,723890,109037,14063,78,19,26,6,19,20.0,20,1,26,20.0,11.5,15,57,0.6477272727272727,88,8.511363636363637
737628,1702465,46343,45664,104,13,5,6,13,30.0,21,0,5,30.0,16.0,8,12,0.08695652173913043,138,10.13768115942029
815973,2042643,98575,8424,83,4,4,1,12,28.0,5,1,4,28.0,3.5,5,1671,0.569918144611187,2932,9.657230559345157
15388,268504,60923,41149,100,21,10,1,09,30.0,18,0,10,30.0,12.0,15,393,0.4775212636695018,823,9.329283110571081
485298,1123540,68885,21137,24,4,5,1,09,30.0,5,1,5,30.0,8.5,6,8603,0.7897007527079126,10894,8.017073618505599
535639,1161920,74340,34262,78,19,5,3,16,14.0,10,1,5,14.0,7.0,6,360,0.728744939271255,494,9.070850202429149
913673,2354738,192379,11266,117,19,6,1,05,30.0,2,0,6,30.0,1.5,0,104,0.7027027027027027,148,3.9932432432432434
237464,787449,27348,36258,98,7,17,5,19,30.0,4,0,17,30.0,15.5,6,28,0.6666666666666666,42,7.333333333333333
387256,743211,181717,7503,117,19,20,0,20,11.0,9,1,20,11.0,5.0,9,278,0.6205357142857143,448,9.921875
444802,1073571,156560,14673,114,17,26,3,13,16.0,15,0,26,16.0,8.5,10,7,0.1891891891891892,37,9.594594594594595
1337291,3181962,126336,31100,120,16,4,0,15,30.0,1,1,4,30.0,4.0,4,68,0.7157894736842105,95,9.726315789473684
1202332,2989788,129448,28476,108,16,43,3,13,28.0,19,0,43,28.0,11.0,18,278,0.7073791348600509,393,8.641221374045802
1157485,2925902,142995,47626,24,4,14,0,16,8.0,6,1,14,8.0,4.0,4,5923,0.7280885064535956,8135,8.063306699446835
399524,960817,114621,10798,36,16,5,3,13,30.0,4,1,5,30.0,3.5,4,73,0.6460176991150443,113,9.769911504424778
472733,1306694,30332,2855,112,3,6,1,15,30.0,21,0,6,30.0,12.5,9,303,0.7079439252336449,428,7.224299065420561
764641,1729390,68863,37068,41,8,27,0,17,5.0,7,1,27,5.0,4.5,6,20,0.8,25,8.8
1130459,2898851,31602,43961,123,4,9,0,16,13.0,17,0,9,13.0,9.5,15,1666,0.6772357723577236,2460,9.815853658536586
1111561,2661783,109003,8567,101,17,7,0,15,13.0,9,1,7,13.0,6.5,9,15,0.5172413793103449,29,8.344827586206897
307619,867996,52242,27104,83,4,8,4,15,30.0,25,1,8,30.0,13.5,26,1819,0.6861561674839683,2651,9.7167106752169
602603,1243807,203645,26790,99,15,10,4,16,6.0,8,1,10,6.0,9.0,14,450,0.6912442396313364,651,9.935483870967742
153585,446853,153262,9839,83,4,12,5,14,30.0,1,1,12,30.0,6.0,7,1171,0.7084089534180278,1653,9.114337568058076
250729,559015,141859,43122,24,4,6,2,17,7.0,12,0,6,7.0,7.5,7,686,0.7,980,9.778571428571428
807950,1981863,99888,22888,122,12,11,4,09,6.0,17,0,11,6.0,9.5,5,166,0.5684931506849316,292,8.287671232876713
30033,37831,94832,34243,83,4,22,0,16,8.0,6,1,22,8.0,7.0,12,847,0.6269430051813472,1351,9.598075499629903
1118606,2664015,149271,5077,112,3,6,0,12,30.0,4,0,6,30.0,3.0,0,1752,0.762402088772846,2298,7.596170583115753
484213,1120406,192859,42768,59,15,43,6,09,7.0,6,1,43,7.0,4.5,8,706,0.6187554776511832,1141,10.434706397896582
314010,884292,67370,37929,69,15,8,4,22,30.0,10,1,8,30.0,6.5,5,4,0.6666666666666666,6,6.666666666666667
539772,1171734,48690,17122,24,4,6,2,11,5.0,1,0,6,5.0,1.5,1,472,0.7044776119402985,670,6.744776119402985
558381,1443551,108405,1234,120,16,15,5,08,8.0,8,0,15,8.0,6.0,5,88,0.7652173913043478,115,6.904347826086957
992794,2446640,24785,23836,37,1,28,5,10,10.0,19,1,28,10.0,22.0,8,18,0.45,40,10.425
568140,1447707,143960,36848,130,14,34,6,06,5.0,18,1,34,5.0,12.5,17,29,0.5178571428571429,56,9.267857142857142
699257,1647954,18157,283,131,9,23,0,12,6.0,23,0,23,6.0,12.0,13,51,0.49514563106796117,103,12.233009708737864
1030358,2512580,40536,13045,107,19,35,4,14,10.0,1,1,35,10.0,9.0,16,19,0.5135135135135135,37,8.621621621621621
115947,399070,205100,26620,115,7,6,6,13,29.0,2,1,6,29.0,1.5,1,644,0.7163515016685206,899,7.685205784204672
517284,1376992,35308,49191,115,7,9,0,19,11.0,20,1,9,11.0,14.0,15,328,0.6520874751491054,503,7.1610337972166995
833691,2059795,178764,30339,17,13,5,4,21,30.0,16,0,5,30.0,8.5,7,18,0.4864864864864865,37,5.486486486486487
1125240,2887390,30877,21137,24,4,46,0,12,9.0,6,1,46,9.0,18.0,32,8603,0.7897007527079126,10894,8.017073618505599
263790,817251,109659,23977,53,16,4,4,08,30.0,5,0,4,30.0,4.5,4,25,0.5319148936170213,47,6.404255319148936
786106,1951767,26554,27695,106,12,54,1,15,20.0,11,1,54,20.0,9.0,16,401,0.723826714801444,554,9.169675090252708
14067,19204,194075,25783,64,7,9,4,08,30.0,1,0,9,30.0,7.5,4,112,0.5628140703517588,199,6.613065326633166
651515,1789110,135053,16797,24,4,17,6,20,15.0,4,1,17,15.0,7.5,12,4786,0.7369879889128427,6494,7.441330458885124
955544,2226949,136423,9825,52,1,37,6,12,9.0,6,1,37,9.0,8.0,10,296,0.7030878859857482,421,9.731591448931116
1239474,3061303,80110,48930,8,3,7,6,16,30.0,42,0,7,30.0,22.0,12,3,0.6,5,12.6
295224,849629,144800,19049,123,4,36,6,14,13.0,13,1,36,13.0,9.0,10,141,0.6380090497737556,221,9.429864253393665
226358,529288,63359,44632,115,7,37,0,10,8.0,11,1,37,8.0,6.5,9,2662,0.7924977671926169,3359,6.303364096457279
907944,2163310,17859,33731,21,16,5,1,12,7.0,3,0,5,7.0,9.5,5,1067,0.6298701298701299,1694,10.241440377804015
1100905,2640820,1715,39966,4,9,30,6,14,14.0,11,1,30,14.0,7.5,11,25,0.7142857142857143,35,10.285714285714286
1079383,2827861,13204,10017,39,12,31,5,19,6.0,2,1,31,6.0,6.0,10,342,0.6298342541436464,543,9.37937384898711
1172068,2724679,140685,45148,43,3,6,5,21,11.0,9,1,6,11.0,9.5,14,4,0.8,5,7.8
55151,324331,80299,46900,69,15,7,4,12,30.0,10,0,7,30.0,11.5,11,114,0.4418604651162791,258,10.492248062015504
1233958,3029265,97311,13198,122,12,4,3,08,10.0,2,1,4,10.0,7.5,10,430,0.6697819314641744,642,8.909657320872274
1096519,2634795,137895,30489,67,20,12,4,15,0.0,9,1,12,0.0,5.0,9,2220,0.7767669699090273,2858,8.74737578726382
1275120,3332441,109702,26604,24,4,18,0,14,30.0,7,1,18,30.0,7.5,8,1843,0.6482588814632431,2843,8.930003517411185
1268354,3099759,120358,43768,83,4,5,1,12,14.0,13,1,5,14.0,12.0,13,552,0.5853658536585366,943,10.628844114528102
1305538,3374173,115145,35855,17,13,7,2,03,23.0,10,0,7,23.0,7.5,10,65,0.3532608695652174,184,9.309782608695652
981443,2427165,47109,34551,17,13,4,6,15,30.0,22,0,4,30.0,17.5,10,123,0.5040983606557377,244,9.073770491803279
833055,2058546,130491,22050,45,19,28,6,17,30.0,10,0,28,30.0,10.0,8,0,0.0,3,5.0
1355012,3215471,16235,15343,120,16,15,4,06,14.0,7,0,15,14.0,7.5,9,16,0.7272727272727273,22,8.454545454545455
918145,2173773,48603,37646,24,4,7,4,22,4.0,13,1,7,4.0,21.0,16,2100,0.7475970096119615,2809,8.073691705233179
574925,1464390,102020,8424,83,4,44,4,22,11.0,10,1,44,11.0,11.5,15,1671,0.569918144611187,2932,9.657230559345157
919720,2177624,155819,28449,26,7,14,2,07,6.0,7,1,14,6.0,12.5,21,33,0.717391304347826,46,6.260869565217392
744810,1883872,16046,13129,96,20,8,4,11,9.0,8,1,8,9.0,12.0,15,44,0.6027397260273972,73,7.821917808219178
800411,2024873,204669,34487,24,4,15,4,19,7.0,8,1,15,7.0,11.0,11,136,0.7157894736842105,190,7.621052631578947
297305,854104,195361,9124,38,1,10,6,18,30.0,6,0,10,30.0,5.5,0,271,0.7384196185286104,367,7.4141689373297
330126,649627,2801,18465,86,16,5,1,09,14.0,5,1,5,14.0,5.5,6,1362,0.7707979626485568,1767,6.842105263157895
547129,1175175,15739,32655,86,16,9,0,17,30.0,2,1,9,30.0,7.5,12,812,0.7718631178707225,1052,5.931558935361217
680071,1622477,196103,21938,83,4,10,0,17,15.0,10,0,10,15.0,7.5,8,1493,0.5922253074176914,2521,9.889726299087664
376581,944026,133825,24852,24,4,4,6,10,30.0,1,1,4,30.0,4.5,1,16557,0.8841717398269785,18726,4.959414717505073
574233,1462768,121691,17568,117,19,10,6,16,30.0,15,0,10,30.0,9.0,9,85,0.5414012738853503,157,11.178343949044587
1077880,2619741,143133,21137,24,4,11,3,22,17.0,4,0,11,17.0,3.5,3,8603,0.7897007527079126,10894,8.017073618505599
317349,633825,196742,31553,83,4,4,0,12,30.0,5,0,4,30.0,7.0,2,661,0.514797507788162,1284,9.18146417445483
619175,1528435,76607,8903,17,13,10,1,10,6.0,5,1,10,6.0,4.5,6,61,0.5304347826086957,115,10.121739130434783
114479,135202,70262,3179,71,16,26,4,17,30.0,2,0,26,30.0,5.5,1,19,0.48717948717948717,39,7.794871794871795
168018,456845,175566,9825,52,1,8,0,11,30.0,5,1,8,30.0,4.0,4,296,0.7030878859857482,421,9.731591448931116
1355620,3216800,138691,1957,75,17,8,0,11,13.0,4,0,8,13.0,8.5,7,49,0.4803921568627451,102,4.333333333333333
380911,949832,50169,31343,21,16,19,0,19,10.0,12,1,19,10.0,14.0,24,637,0.6148648648648649,1036,10.177606177606178
1213853,2777480,132096,39180,84,16,11,0,10,6.0,1,1,11,6.0,8.0,7,426,0.8819875776397516,483,4.875776397515528
695058,1830753,117073,27715,52,1,4,1,17,30.0,1,0,4,30.0,7.0,4,25,0.6097560975609756,41,8.658536585365853
699230,1647915,14021,23165,83,4,29,5,11,8.0,6,1,29,8.0,17.5,31,423,0.5536649214659686,764,10.070680628272251
216299,760993,83924,10957,77,7,66,0,00,30.0,2,1,66,30.0,6.5,12,479,0.7426356589147287,645,6.393798449612403
381005,728025,202635,32566,84,16,15,3,16,22.0,1,1,15,22.0,9.0,12,236,0.8166089965397924,289,5.290657439446367
200916,498171,105852,10246,83,4,27,5,17,13.0,20,1,27,13.0,10.5,14,569,0.5357815442561206,1062,10.013182674199623
497925,1346472,62322,13536,21,16,5,6,12,30.0,8,0,5,30.0,14.0,5,92,0.44019138755980863,209,10.727272727272727
922699,2185248,185611,30183,121,14,9,0,16,30.0,3,0,9,30.0,16.0,8,139,0.5650406504065041,246,9.272357723577235
967996,2247888,66554,14129,69,15,17,1,19,30.0,10,0,17,30.0,10.5,12,147,0.4481707317073171,328,10.448170731707316
1335523,3177784,169793,20691,117,19,12,6,15,20.0,12,0,12,20.0,20.0,15,15,0.25862068965517243,58,10.620689655172415
532390,1404701,155613,31371,93,3,12,4,14,25.0,1,1,12,25.0,11.0,17,200,0.746268656716418,268,8.335820895522389
40777,299902,81079,22788,21,16,5,2,15,30.0,6,0,5,30.0,7.0,2,98,0.532608695652174,184,10.054347826086957
194526,491581,118270,42701,108,16,13,1,09,30.0,7,0,13,30.0,8.0,5,626,0.5978987583572111,1047,10.327602674307546
256174,808056,165325,4557,67,20,12,4,15,11.0,4,0,12,11.0,4.5,3,25,0.625,40,6.1
8146,262322,148987,21137,24,4,8,6,15,30.0,7,1,8,30.0,6.0,8,8603,0.7897007527079126,10894,8.017073618505599
758654,1907923,169681,455,133,11,58,4,15,5.0,7,0,58,5.0,4.0,2,11,0.275,40,11.225
1127761,2893200,39632,14218,86,16,10,6,11,16.0,12,1,10,16.0,11.0,12,340,0.6296296296296297,540,6.316666666666666
1261234,3091390,57709,27325,115,7,4,4,08,4.0,1,0,4,4.0,11.0,7,345,0.782312925170068,441,5.242630385487528
293298,615692,115709,43295,91,16,9,3,07,22.0,6,1,9,22.0,16.5,29,816,0.6538461538461539,1248,6.168269230769231
1141299,2904994,48579,28985,83,4,5,1,18,30.0,6,0,5,30.0,5.5,3,1944,0.7400076132470499,2627,7.575561476969928
498113,1346906,195103,48775,83,4,4,5,12,21.0,4,1,4,21.0,7.5,7,302,0.511864406779661,590,10.349152542372881
500030,1134924,43347,32433,116,1,7,6,17,29.0,26,0,7,29.0,13.5,10,269,0.5412474849094567,497,9.835010060362173
885624,2326588,147020,16836,11,11,8,3,13,7.0,4,0,8,7.0,3.5,1,0,0.0,1,4.0
565690,1203039,169258,2966,98,7,18,0,17,30.0,8,1,18,30.0,5.5,8,469,0.6433470507544582,729,8.315500685871056
920894,2180910,64467,11520,86,16,6,0,10,30.0,9,0,6,30.0,6.0,2,1500,0.7903055848261328,1898,5.708113804004215
768757,1917765,198027,39108,31,7,4,5,14,11.0,12,1,4,11.0,10.0,9,234,0.6030927835051546,388,6.907216494845361
150903,180655,103333,21616,123,4,4,2,14,30.0,1,1,4,30.0,7.0,11,2071,0.708518645227506,2923,8.927129661306877
1053096,2795155,158916,9290,38,1,23,2,14,22.0,14,1,23,22.0,9.5,12,93,0.6549295774647887,142,8.19718309859155
1137638,2689668,119836,11679,96,20,5,4,16,15.0,2,1,5,15.0,8.0,9,70,0.6140350877192983,114,9.710526315789474
720723,1866082,2140,12845,117,19,4,6,13,30.0,6,0,4,30.0,12.0,8,163,0.36711711711711714,444,10.664414414414415
1188475,2745190,116998,10163,67,20,15,0,18,30.0,3,1,15,30.0,5.0,6,62,0.6262626262626263,99,8.97979797979798
893416,2340267,141010,42637,93,3,5,6,15,30.0,18,1,5,30.0,12.0,13,64,0.6666666666666666,96,9.59375
364619,713193,136762,11520,86,16,25,5,12,28.0,2,1,25,28.0,10.0,13,1500,0.7903055848261328,1898,5.708113804004215
461112,1288516,85607,30718,94,7,13,5,00,30.0,9,1,13,30.0,14.0,14,35,0.813953488372093,43,6.046511627906977
382787,732608,108815,24852,24,4,6,6,10,5.0,1,1,6,5.0,9.0,12,16557,0.8841717398269785,18726,4.959414717505073
1004689,2549507,196394,48110,78,19,13,1,10,27.0,2,1,13,27.0,7.0,9,79,0.6422764227642277,123,8.65040650406504
1166726,2943279,5369,21506,121,14,4,1,11,21.0,12,0,4,21.0,10.5,6,65,0.48507462686567165,134,11.097014925373134
984871,2436691,32561,4945,123,4,53,5,05,7.0,3,1,53,7.0,7.0,13,196,0.7452471482889734,263,7.399239543726236
3739,9078,95954,13176,24,4,6,6,12,28.0,1,0,6,28.0,6.5,2,13362,0.8631782945736434,15480,4.763501291989664
59373,334643,81682,4879,84,16,10,4,06,30.0,8,1,10,30.0,6.0,8,55,0.6179775280898876,89,5.51685393258427
854431,2301063,131149,42342,96,20,4,1,12,2.0,9,0,4,2.0,9.0,7,529,0.5700431034482759,928,9.280172413793103
16679,271428,35015,17600,120,16,7,6,23,6.0,15,0,7,6.0,11.0,5,549,0.7489768076398363,733,8.863574351978173
1087861,2850504,28658,27086,53,16,4,1,13,29.0,10,0,4,29.0,7.0,7,1898,0.783003300330033,2424,6.81023102310231
1330146,3404570,149335,16215,69,15,24,4,18,21.0,18,0,24,21.0,10.0,8,8,0.25,32,9.9375
585663,1226765,58306,2326,52,1,11,2,15,3.0,14,1,11,3.0,11.5,14,208,0.6731391585760518,309,9.223300970873787
1356337,3218140,165337,37173,107,19,29,0,16,14.0,31,0,29,14.0,17.0,23,40,0.7692307692307693,52,6.903846153846154
256850,809518,65477,24973,23,19,12,6,13,18.0,15,0,12,18.0,12.5,12,29,0.5370370370370371,54,9.333333333333334
758825,1908437,46156,36775,107,19,11,3,08,30.0,18,1,11,30.0,12.5,17,6,0.46153846153846156,13,8.76923076923077
897235,2142128,156496,2562,130,14,12,3,15,5.0,28,0,12,5.0,17.0,7,15,0.5,30,9.066666666666666
193845,489933,51940,44413,37,1,8,4,12,30.0,1,0,8,30.0,2.0,0,27,0.43548387096774194,62,8.935483870967742
431585,1059823,191266,43352,32,4,17,4,11,16.0,1,0,17,16.0,2.5,0,2328,0.7099725526075022,3279,6.897834705702958
1338167,3413917,194557,9076,116,1,13,6,13,23.0,26,0,13,23.0,15.5,19,1407,0.6056823073611709,2323,9.064141196728368
425178,1049636,73199,48116,120,16,5,4,07,23.0,7,0,5,23.0,5.0,2,32,0.5517241379310345,58,8.189655172413794
1224582,3021062,40718,46667,83,4,8,0,14,6.0,23,1,8,6.0,12.5,23,1241,0.6183358246138515,2007,9.485799701046338
1364150,3237186,161102,44641,123,4,10,5,10,30.0,18,0,10,30.0,12.0,17,12,0.36363636363636365,33,12.515151515151516
657114,1581502,126382,42828,108,16,37,1,14,7.0,10,1,37,7.0,7.5,14,772,0.7161410018552876,1078,9.631725417439704
976001,2262148,152391,46260,107,19,13,1,16,30.0,1,1,13,30.0,6.5,7,121,0.6173469387755102,196,8.306122448979592
472515,1306233,203222,46802,116,1,12,5,15,30.0,5,1,12,30.0,9.0,12,639,0.5933147632311978,1077,9.21355617455896
945321,2397931,185633,2350,17,13,68,3,13,3.0,14,1,68,3.0,10.0,18,73,0.5328467153284672,137,10.423357664233576
1214063,2778043,38688,48171,129,1,11,6,15,3.0,9,0,11,3.0,5.0,4,175,0.5208333333333334,336,9.520833333333334
76864,82318,142204,20906,23,19,20,4,11,27.0,8,1,20,27.0,9.0,11,40,0.7407407407407407,54,10.38888888888889
